Id,Longitud,Latitud,Metros,
150,-98.3531949375982,20.0398593575332,478,
149,-98.3540639733197,20.0375108740607,482,
148,-98.3542409991205,20.0384835334921,419,
147,-98.3549435464232,20.0344449584348,607,
146,-98.3552037845073,20.0349604395237,542,
145,-98.3554183612344,20.0353636216936,497,
144,-98.3556865821343,20.0358675979504,430,
143,-98.3559655318742,20.0364118904923,363,
142,-98.3613725474715,20.0378424872863,588,
141,-98.3594145348858,20.0365724799867,470,
140,-98.3580841592172,20.0342491464135,617,
139,-98.3576389125254,20.0348035241399,532,
138,-98.3557989171343,20.037247802607,345,
137,-98.3546938470238,20.0384522887303,351,
136,-98.3552624753345,20.0384674077447,294,
135,-98.3544792703056,20.0396063692812,371,
134,-98.3552302888236,20.039873469685,264,
133,-98.3618124297477,20.0391729601128,496,
132,-98.3586581519434,20.039576131471,173,
131,-98.3605329522368,20.0378889420538,446,
130,-98.3609433940262,20.0393291891364,404,
129,-98.3602526403814,20.0393695632105,326,
128,-98.3579352117877,20.0374847257413,442,
127,-98.3573530221771,20.0362996532113,343,
126,-98.3575193191379,20.0373529554716,257,
125,-98.356634190161,20.0362845339891,400,
124,-98.3585868383221,20.0387489480638,161,
123,-98.3559046293049,20.0378014887407,277,
122,-98.3570526147663,20.0396359260817,45,
121,-98.3552340770551,20.0393234684875,219,
120,-98.3594251130873,20.037954155879,363,
119,-98.3572203372726,20.0355804451092,488,
118,-98.3561742757593,20.036880698763,305,
117,-98.3570459936886,20.0381532234112,145,
116,-98.3578050588388,20.0413760664564,351,
115,-98.358121559505,20.0416003275078,307,
114,-98.3586338614262,20.0415574911513,321,
113,-98.35675363291,20.0407864347513,271,
112,-98.3571559642599,20.0404538210179,241,
111,-98.3563754414387,20.0404210635661,215,
110,-98.3580303643969,20.0402119196784,143,
109,-98.357594358144468,20.037747150149595,200,
108,-98.361000699776994,20.039300465837364,200,
107,-98.3577621434969,20.0389091737674,50,x
106,-98.3574981176845,20.0389574839389,200,x
105,-98.3560470426046,20.0384509977579,200,x
104,-98.3580345594843,20.0396403557566,100,x
103,-98.3568275654257,20.0398117032004,100,x
102,-98.3570582353993,20.0383980811969,100,x
101,-98.3563930475649,20.0391439510768,100,x
